CODE,Institute Name,Managing Authority,Latitude,Longitude,Institure Type,Description,Gender,Faculty,Tier
KQ2172,ADAMJEE GOVT. SCIENCE COLLEGE KARACHI,Government,24.8818483,67.0362703,College,https://maps.app.goo.gl/NYfipTsmjFGCYgEy8,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2194,D.J SINDH GOVT SCIENCE COLLEGE,Government,24.8535173,67.014471,College,https://maps.app.goo.gl/DwcT93z1eesiNRFz7,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2195,GOVT COLLEGE FOR MEN NAZIMABAD,Government,24.9095625,67.0294876,College,https://maps.app.goo.gl/HUL5K8Re7eLd5ZAWA,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2202,"GOVT. DEGREE COLLEGE MALIR CANTT, KARACHI",Government,24.9439194,66.976809,College,https://maps.app.goo.gl/CoADCR5Lx36a91QP6,CO-Education,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2155,GOVT .DEHLI INTER SCIENCE COLLEGE,Government,24.9129766,67.0575161,College,https://maps.app.goo.gl/wd8oCP1wbP9a86bU6,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2181,PAKISTAN SHIPOWNERS' GOVT COLLEGE KARACHI,Government,24.9489872,67.0375902,College,https://maps.app.goo.gl/KgdVv7tEUVA9hU6E9,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2178,GOVT JINNAH COLLEGE,Government,24.9242896,67.0265369,College,https://maps.app.goo.gl/25ScqMfJHByL1XnKA,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2196,"GOVT. SUPERIOR SCIENCE COLLEGE, KARACHI",Government,24.8843406,67.1452558,College,https://maps.app.goo.gl/PWBqrmcYDo1AWdjh7,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2248,GOVT. DEGREE BOYS COLLEGE GULISTAN E JOHAR MORNING,Government,24.9361355,67.1319323,College,https://maps.app.goo.gl/ryA7Yd3A5GKx4iUd7,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2183,S.M GOVT SCIENCE COLLEGE,Government,24.8514426,67.0022297,College,https://maps.app.goo.gl/L44hetjvks1NP4h88,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2197,GOVT. DEGREE SCIENCE COMMERCE COLLEGE LANDHI KORANGI 06,Government,24.8252746,67.172056,College,https://maps.app.goo.gl/fohtjv2Qm38y9M6d6,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2184,GOVT.PECHS EDUCATION FOUNDATION SCIENCE COLLEGE,Government,24.8815625,67.0544876,College,https://maps.app.goo.gl/i4z6fkYNZcMpSbJA8,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2175,HAJI ABDULLAH HAROON GOVT. DEGREE COLLEGE,Government,24.8567857,66.9890642,College,https://maps.app.goo.gl/YUrjAdYBLSpbsGVJ9,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES",T1
KQ2180,GOVT. NATIONAL COLLEGE ( MORNING),Government,24.8847812,67.0576756,College,https://maps.app.goo.gl/RkhYkpXk6RYLhFoM8,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2204,GOVT DEGREE COLLEGE FOR BOYS AND GIRLS BLOCK-07,Government,24.9129029,67.0856847,College,https://maps.app.goo.gl/6hz9LK2YexKjWWAB9,CO-Education,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2173,AISHA BAWANI GOVT COLLEGE MORNING,Government,24.8575526,67.0542345,College,https://maps.app.goo.gl/48riUC5w1u9K93Be6,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2174,GOVT.CITY COLLEGE MUSA COLONY MORNING,Government,24.9220069,67.0448258,College,https://maps.app.goo.gl/DFGJRvefWzXthbS89,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2261,GOVT. DEGREE COLLEGE RAZZAKABAD KARACHI,Government,24.8708816,67.2876287,College,https://maps.app.goo.gl/b96QDokCKTqLDuoQ9,CO-Education,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2146,"GOVT. DEGREE BOYS COLLEGE, KORANGI 2 KARACHI",Government,24.8328532,67.1260805,College,https://maps.app.goo.gl/2bHCX6B6h9EWYpLp9,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2154,SIRAJUDULLAH GOVT. DEGREE COLLEGE,Government,24.9152559,67.048312,College,https://maps.app.goo.gl/ReeJkU8W8bRt1f266,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T2
KQ2242,GOVT. DEGREE BOYS COLLEGE KMC STORE NISHTER ROAD,Government,24.8639913,67.0088566,College,https://maps.app.goo.gl/hxQvwDQ83XYHCBcg6,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T2
KQ2231,GOVT. DEGREE BOYS COLLEGE METROVILLE SITE,Government,24.921346,66.9963462,College,https://maps.app.goo.gl/sy2cxukE55AUci9i6,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2168,GOVT. DEGREE BOYS COLLEGE BUFFER ZONE,Government,24.9571874,67.0640666,College,https://maps.app.goo.gl/KoqEdLthkJUZbBw88,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMMERCE",T2
KQ2260,GOVT INTER BOYS COLLEGE LANDHI,Government,24.8408141,67.1801288,College,https://maps.app.goo.gl/Q46a9o6dx5VS2zrL8,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T2
KQ2151,"GOVT, JAMIA MILLIA DEGREE COLLEGE ( MORNING)",Government,24.8727089,67.1740713,College,https://maps.app.goo.gl/cSvXQvt33RrDR3AF7,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , ",T2
KQ2256,GOVT. DEGREE BOYS COLLEGE GULZAR E HIJRI,Government,24.945749,67.1011596,College,https://maps.app.goo.gl/R6wHZMwNpGm4ZFu77,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMMERCE",T2
KQ2201,GOVT DEGREE SCIENCE AND COMMERCE COLLEGE ORANGI TOWN,Government,24.9352624,67.0148558,College,https://maps.app.goo.gl/wsfzJVv4zZnURioC8,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMMERCE",T3 and Below
KQ2241,"SHAHEED ZULFIQAR ALI BHUTTO GOVERNMENT DEGREE BOYS COLLEGE, SECTOR 16-E GULSHAN E BEHAR, ORANGI TOWN, KARACHI",Government,24.9700829,66.9930954,College,https://maps.app.goo.gl/DiZVJgqS9KJrytcWA,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2200,GOVT. DEGREE SCIENCE COLLEGE LIAQUATABAD,Government,24.9000659,67.0549171,College,https://maps.app.goo.gl/AcbzTfuAqMNNhXDSA,Male,"PRE–MEDICAL , PRE–ENGINEERING",T3 and Below
KQ2144,"GOVT. DEGREE BOYS COLLEGE 7D-II NORTH KARACHI, NORTH NAZIMABAD TOWN KARACHI",Government,24.9841839,67.0561477,College,https://maps.app.goo.gl/2E7AAmXnj8wJtLuh7,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2150,ALLAMA IQBAL GOVT BOYS SCIENCE COLLEGE MORNING,Government,24.9059582,67.1859207,College,https://maps.app.goo.gl/HNH7Lx3wPFxH7cBw7,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T3 and Below
KQ2257,GOVT. DEGREE BOYS COLLEGE JUNGLE SHAH,Government,24.8294466,66.9798444,College,https://maps.app.goo.gl/Wv2FacccRCVJPzpp8,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T3 and Below
KQ2198,GOVT. DEGREE SCIENCE AND COMMERCE COLLEGE LYARI,Government,24.8787137,67.0022585,College,https://maps.app.goo.gl/GKEAXrmx6kjCwA7e9,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2338,"GOVT. DEGREE BOYS COLLEGE, 11-A, NORTH KARACHI, KARACHI",Government,24.9841839,67.0561477,College,https://maps.app.goo.gl/Fu1wPeYEFVdCvu4m8,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMMERCE",T3 and Below
KQ2252,GOVT. DEGREE BOYS COLLEGE BALDIA TOWN,Government,24.9258544,66.9634379,College,https://maps.app.goo.gl/gv4pMWV9eaUEB9F68,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2189,GOVT DEGREE BOYS COLLEGE ASIFABAD,Government,24.9015816,67.0104328,College,https://maps.app.goo.gl/j23UYokoLS57XkmQA,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2177,ISLAMIA GOVT. SCIENCE COLLEGE,Government,24.9408104,66.9701672,College,https://maps.app.goo.gl/5HRFfFuyyTofx2Hf7,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T3 and Below
KQ2156,NABI BAGH Z.M GOVT INTER SCIENCE COLLEGE,Government,24.8608762,67.0187945,College,https://maps.app.goo.gl/mdRoMmZSqL56MY5M7,Male,"PRE–MEDICAL , PRE–ENGINEERING",T3 and Below
KQ2199,GOVT. DEGREE SCIENCE COLLEGE MALIR KARACHI,Government,24.9111693,67.1938245,College,https://maps.app.goo.gl/EquxYvEbCBtaHxvK6,Male,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2203,"GOVT. DEGREE BOYS GIRLS COLLEGE OF SCIENCE , ARTS COMMERCE MURAD MEMON MALIR , KARACHI",Government,24.9165833,67.2479089,College,https://maps.app.goo.gl/mxTeSdkcXvVjJimr6,Male,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T3 and Below
